start_dt,matched,dist,reason,duration,duration_hours,wb_active_at_filing
2022-04-09 00:00:00,True,0 days 15:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-04-10 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain Condition,2 hours Hours - Ongoing,2.0,
2022-04-15 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-04-17 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-04-19 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2022-04-20 00:00:00,False,1 days 04:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,24.0
2022-04-24 00:00:00,True,0 days 09:00:00,Weather Conditions - Disregard.....getting False reading on Rain Gauge,0 Hours Hours - Ended,0.0,
2022-04-24 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain condition,2 Hours Hours - Ongoing,2.0,
2022-05-04 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2022-05-06 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2022-05-07 00:00:00,True,0 days 16:00:00,Weather Conditions - Rain conditions,2 Hours - Ongoing,2.0,
2022-05-08 00:00:00,False,1 days 10:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,40.0
2022-05-15 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-05-17 00:00:00,True,0 days 07:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-05-19 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Conditions.,2 Hours - Ongoing,2.0,
2022-05-21 00:00:00,True,0 days 07:00:00,Weather Conditions - Rain condition,2 Hours Hours - Ongoing,2.0,
2022-05-22 00:00:00,False,1 days 07:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,4.0
2022-05-28 00:00:00,True,0 days 07:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-05-29 00:00:00,False,1 days 07:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,5.0
2022-06-02 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain Conditions,2 Hours - Ongoing,2.0,
2022-06-09 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-06-12 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-06-16 00:00:00,True,0 days 07:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-06-17 00:00:00,True,0 days 17:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-06-22 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-06-28 00:00:00,True,0 days 13:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-07-09 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-07-17 00:00:00,True,0 days 10:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-07-20 00:00:00,False,1 days 14:00:00,Weather Conditions - Rain Condition.,2 Hours - Ended,2.0,3.0
2022-07-23 00:00:00,False,1 days 10:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,4.0
2022-07-26 00:00:00,True,0 days 10:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-07-28 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-07-30 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain condition,2 hour Hours - Ongoing,2.0,
2022-08-01 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Conditions,2 Hours - Ongoing,2.0,
2022-08-10 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain conditions,2 Hours - Ongoing,2.0,
2022-08-11 00:00:00,True,0 days 07:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-08-12 00:00:00,True,0 days 17:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-08-18 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-08-22 00:00:00,True,0 days 11:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-08-23 00:00:00,True,0 days 13:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-08-27 00:00:00,True,0 days 11:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-08-31 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-09-05 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition,2 hrs Hours - Ongoing,2.0,
2022-09-06 00:00:00,True,0 days 11:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-09-07 00:00:00,False,1 days 11:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,37.0
2022-09-08 00:00:00,False,2 days 11:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,13.0
2022-09-12 00:00:00,True,0 days 12:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2022-09-20 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-09-22 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-09-26 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain Condition.,2 Hours - Ongoing,2.0,
2022-10-01 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-10-02 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-10-04 00:00:00,True,0 days 11:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-10-15 00:00:00,False,1 days 10:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,15.0
2022-10-17 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-10-18 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-10-24 00:00:00,True,0 days 02:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-10-25 00:00:00,True,0 days 22:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-11-01 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-11-12 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain condition,2 hrs Hours - Ongoing,2.0,
2022-11-13 00:00:00,True,0 days 20:00:00,Weather Conditions - Rain conditions,2 Hours - Ongoing,2.0,
2022-11-16 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2022-11-30 00:00:00,True,0 days 10:00:00,Weather Conditions - Rain Condition,0 Hours - Ongoing,0.0,
2022-12-01 00:00:00,True,0 days 14:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-12-03 00:00:00,True,0 days 08:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2022-12-04 00:00:00,True,0 days 16:00:00,Weather Conditions - Rain condition,2 Hours Hours - Ongoing,2.0,
2022-12-17 00:00:00,False,1 days 11:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,40.0
2022-12-23 00:00:00,True,0 days 13:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2022-12-24 00:00:00,False,1 days 13:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,26.0
2023-01-01 00:00:00,True,0 days 13:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2023-01-02 00:00:00,False,1 days 06:00:00,Weather Conditions - Rain condition,2 hour Hours - Ongoing,2.0,6.0
2023-01-03 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-01-04 00:00:00,True,0 days 18:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-01-05 00:00:00,True,0 days 23:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-01-06 00:00:00,True,0 days 01:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-01-07 00:00:00,True,0 days 01:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2023-01-12 00:00:00,True,0 days 18:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-01-13 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-01-14 00:00:00,False,1 days 06:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,7.0
2023-01-24 00:00:00,False,1 days 07:00:00,Weather Conditions - Rain Condition,2 Hours - Ended,2.0,27.0
2023-01-25 00:00:00,True,0 days 13:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-01-26 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-01-31 00:00:00,False,4 days 21:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,0.0
2023-02-18 00:00:00,True,0 days 16:00:00,Weather Conditions - RAIN CONDITION,2 Hours - Ongoing,2.0,
2023-02-21 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-02-22 00:00:00,True,0 days 14:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-02-23 00:00:00,True,0 days 10:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-02-24 00:00:00,False,1 days 10:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,3.0
2023-02-28 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain Conditions,2 Hours - Ongoing,2.0,
2023-02-28 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-03-02 00:00:00,False,1 days 21:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,5.0
2023-03-04 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-03-05 00:00:00,False,1 days 03:00:00,Weather Conditions - Rain conditions,2 Hours - Ended,2.0,18.0
2023-03-06 00:00:00,False,2 days 03:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,6.0
2023-03-07 00:00:00,False,3 days 03:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,2.0
2023-03-11 00:00:00,True,0 days 05:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2023-03-12 00:00:00,False,1 days 04:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,16.0
2023-03-13 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-03-14 00:00:00,True,0 days 20:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-03-26 00:00:00,True,0 days 12:00:00,Weather Conditions - Rain condition,2 Hours Hours - Ongoing,2.0,
2023-03-28 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain conditions.,2 Hours - Ongoing,2.0,
2023-03-29 00:00:00,False,1 days 06:00:00,Weather Conditions - rain condition,2 Hours - Ongoing,2.0,3.0
2023-04-01 00:00:00,True,0 days 07:00:00,Weather Conditions - Rain conditions,2 Hours - Ongoing,2.0,
2023-04-02 00:00:00,True,0 days 17:00:00,Weather Conditions - Rain conditions,2 Hours - Ongoing,2.0,
2023-04-03 00:00:00,False,1 days 17:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,4.0
2023-04-23 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition,2 hrs Hours - Ongoing,2.0,
2023-04-29 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain conidition,2 Hours - Ended,2.0,
2023-04-29 09:00:00,True,0 days 13:00:00,Rain conidition,2,2.0,
2023-04-30 00:00:00,True,0 days 09:00:00,Weather Conditions - Rain conditions,2 Hours - Ongoing,2.0,
2023-04-30 09:00:00,True,0 days 00:00:00,Rain conditions,2,2.0,
2023-05-01 00:00:00,True,0 days 15:00:00,Weather Conditions - Rain condition.,2 Hours - Ongoing,2.0,
2023-05-01 03:00:00,True,0 days 18:00:00,Rain condition.,2,2.0,
2023-05-20 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2023-05-20 09:00:00,True,0 days 05:00:00,Rain condition,2 hours,2.0,
2023-05-21 00:00:00,True,0 days 20:00:00,Weather Conditions - Rain condition,2 hrs Hours - Ongoing,2.0,
2023-05-21 03:00:00,True,0 days 23:00:00,Rain condition,2 hrs,2.0,
2023-06-03 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-06-03 03:00:00,True,0 days 07:00:00,Rain Condition,2,2.0,
2023-06-13 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain condition,2 Hours - Ended,2.0,
2023-06-13 03:00:00,True,0 days 07:00:00,Rain condition,2,2.0,
2023-06-17 00:00:00,True,0 days 10:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2023-06-17 03:00:00,True,0 days 13:00:00,Rain condition,2 hours,2.0,
2023-06-23 00:00:00,False,3 days 10:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,0.0
2023-06-23 09:00:00,False,3 days 01:00:00,Rain condition,2,2.0,0.0
2023-06-26 00:00:00,True,0 days 10:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-06-26 09:00:00,True,0 days 01:00:00,Rain condition,2,2.0,
2023-06-27 00:00:00,True,0 days 14:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-06-27 03:00:00,True,0 days 17:00:00,Rain condition,2,2.0,
2023-07-03 00:00:00,True,0 days 07:00:00,Weather Conditions - Rain condition,2 Hours - Ended,2.0,
2023-07-03 03:00:00,True,0 days 10:00:00,Rain condition,2,2.0,
2023-07-04 00:00:00,True,0 days 03:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-07-04 03:00:00,True,0 days 06:00:00,Rain Condition,2,2.0,
2023-07-09 00:00:00,True,0 days 17:00:00,Weather Conditions - Rain condition,24 Hours - Ongoing,24.0,
2023-07-14 00:00:00,True,0 days 04:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
2023-07-15 00:00:00,True,0 days 18:00:00,Weather Conditions - Rain condition,2 hrs Hours - Ongoing,2.0,
2023-07-16 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition,2 hours Hours - Ongoing,2.0,
2023-07-19 00:00:00,True,0 days 12:00:00,Weather Conditions - Rain Condition,2 Hours - Ongoing,2.0,
2023-07-21 00:00:00,True,0 days 06:00:00,Weather Conditions - Rain condition,2 Hours - Ongoing,2.0,
