start_dt,end,duration,duration_hours,facility,facility_id,waterbody,quantity,treated,reason,county,city,status,incident_id,lat,lon,sheet
2025-02-19 04:04:00,19/FEB/2025 09:38:00,5.5 Hours - Ended,5.5,NYCDEP Newtown Creek WWTP,NY0026204,East River,270000 Gallons Estimated,Untreated,"Blockage,Unknown - 10% blockage of regulator NCM-19, additional causes of bypass still being evaluated",New York,New York,Close,1931740461533457,-73.9974,40.7094,Aug 1- March 31 2025
2025-02-21 03:30:00,21/FEB/2025 05:30:00,2 Hours - Ongoing,2.0,NYCDEP Port Richmond WWTP NY0026107,NY0026107,Arthur Kill,2 Gallons Estimated,Untreated,System Capacity - Septic overflow,New York,Staten Island,New,1929163481203207,-74.1484,40.6092,Aug 1- March 31 2025
2025-02-21 11:45:00,21/FEB/2025 12:00:00,15 Minutes - Ended,0.25,NYCDEP Oakwood Beach WWTP NY0026174,NY0026174,KILL VAN KULL  ARTHUR KILL,2 Gallons Estimated,Untreated,Blockage - PRIVATE MANHOLE DISCHARGE INTO BASIN,New York,STATEN ISLAND,New,1931431223946254,-74.2319,40.5135,Aug 1- March 31 2025
2025-03-05 13:40:00,05/MAR/2025 19:15:00,5 hours 35 minutes Hours - Ended,5.0,NYCDEP Hunts Point WWTP,NY0026191,Upper East River,unknown Gallons Estimated,Untreated,Blockage - Primary screens Clogged,New York,Bronx,New,1961049318375359,-73.8858,40.8041,Aug 1- March 31 2025
2025-03-06 02:00:00,06/MAR/2025 04:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,1961118037859279,-73.92573547363287,40.72275784993446,Aug 1- March 31 2025
2025-03-11 07:30:00,11/MAR/2025 10:30:00,3 Hours - Ended,3.0,NYCDEP Hunts Point WWTP,NY0026191,East Chester Bay,50 Gallons Estimated,Untreated,Blockage - A Transit Authority sanitary sewer manhole overflowed due to a clog of rags and grease.,New York,Bronx,New,1961083678177418,-73.8332,40.8673,Aug 1- March 31 2025
2025-03-17 03:00:00,17/MAR/2025 05:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,1961289836774224,-73.92573547363287,40.72275784993446,Aug 1- March 31 2025
2025-03-20 18:57:00,20/MAR/2025 21:41:00,3 Hours - Ended,3.0,NYCDEP North River WWTP,NY0026247,Hudson River,Unknown Gallons Estimated,Untreated,Weather Conditions - Wet weather event + mechanical failure,New York,New York,New,1961324196176787,-73.958,40.8253,Aug 1- March 31 2025
2025-03-21 03:00:00,21/MAR/2025 05:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,1977645071861533,-73.92573547363287,40.72275784993446,Aug 1- March 31 2025
2025-03-21 07:30:00,21/MAR/2025 09:00:00,1.5 Hours - Ended,1.5,NYCDEP Newtown Creek WWTP,NY0026204,Newtown Creek,3000 Gallons Estimated,Untreated,Blockage - Sewer blockage,New York,Brooklyn,New,1967646388019500,-73.9294,40.7134,Aug 1- March 31 2025
2025-03-24 03:00:00,24/MAR/2025 05:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,1977645071896821,-73.92573547363287,40.72275784993446,Aug 1- March 31 2025
2025-03-31 22:00:00,04/01/2025 06:30:00,8.5 Hours - Ended,8.5,NYCDEP North River WWTP,NY0026247,Hudson River,UNKNOWN Gallons Estimated,Untreated,"System Capacity,Weather Conditions - Gates lowered in order to protect process equipment.",New York,New York,New,,-73.958,40.8253,April 1 - August 31 2025
2025-04-01 07:00:00,04/01/2025 09:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
2025-04-04 07:00:00,04/04/2025 09:00:00,2 Hours - Ongoing,2.0,NYCDEP City Wide CSO,NYCDEPCSO,Please see DEP's website below,0 Gallons per Minute Estimated,Untreated,Weather Conditions - Rain condition,New York,Please see DEP's website below,New,,-73.92573547363287,40.72275784993446,April 1 - August 31 2025
